date month year variable value units
2/1/1940 2 1940 TLG 0.25 MAF
3/1/1940 3 1940 TLG 0.34414 MAF
4/1/1940 4 1940 TLG 0.32486 MAF
5/1/1940 5 1940 TLG 0.5711 MAF
6/1/1940 6 1940 TLG 0.3475 MAF
7/1/1940 7 1940 TLG 0.05416 MAF
8/1/1940 8 1940 TLG 0.01076 MAF
9/1/1940 9 1940 TLG 0.00202 MAF
10/1/1940 10 1940 TLG 0.01131 MAF
11/1/1940 11 1940 TLG 0.01501 MAF
12/1/1940 12 1940 TLG 0.12906 MAF
1/1/1941 1 1941 TLG 0.11545 MAF
2/1/1941 2 1941 TLG 0.219 MAF
3/1/1941 3 1941 TLG 0.26008 MAF
4/1/1941 4 1941 TLG 0.27959 MAF
5/1/1941 5 1941 TLG 0.66268 MAF
6/1/1941 6 1941 TLG 0.53444 MAF
7/1/1941 7 1941 TLG 0.22406 MAF
8/1/1941 8 1941 TLG 0.03049 MAF
9/1/1941 9 1941 TLG 0.00819 MAF
10/1/1941 10 1941 TLG 0.00704 MAF
11/1/1941 11 1941 TLG 0.03756 MAF
12/1/1941 12 1941 TLG 0.16153 MAF
1/1/1942 1 1942 TLG 0.16481 MAF
2/1/1942 2 1942 TLG 0.14243 MAF
3/1/1942 3 1942 TLG 0.14871 MAF
4/1/1942 4 1942 TLG 0.33699 MAF
5/1/1942 5 1942 TLG 0.47199 MAF
6/1/1942 6 1942 TLG 0.59758 MAF
7/1/1942 7 1942 TLG 0.25344 MAF
8/1/1942 8 1942 TLG 0.03016 MAF
9/1/1942 9 1942 TLG 0.00328 MAF
10/1/1942 10 1942 TLG 0.00505 MAF
11/1/1942 11 1942 TLG 0.08641 MAF
12/1/1942 12 1942 TLG 0.09285 MAF
1/1/1943 1 1943 TLG 0.24632 MAF
2/1/1943 2 1943 TLG 0.16376 MAF
3/1/1943 3 1943 TLG 0.37192 MAF
4/1/1943 4 1943 TLG 0.38517 MAF
5/1/1943 5 1943 TLG 0.49453 MAF
6/1/1943 6 1943 TLG 0.35289 MAF
7/1/1943 7 1943 TLG 0.1409 MAF
8/1/1943 8 1943 TLG 0.0248 MAF
9/1/1943 9 1943 TLG 0.00521 MAF
10/1/1943 10 1943 TLG 0.0116 MAF
11/1/1943 11 1943 TLG 0.01563 MAF
12/1/1943 12 1943 TLG 0.02093 MAF
1/1/1944 1 1944 TLG 0.04273 MAF
2/1/1944 2 1944 TLG 0.08041 MAF
3/1/1944 3 1944 TLG 0.13522 MAF
4/1/1944 4 1944 TLG 0.16462 MAF
5/1/1944 5 1944 TLG 0.4558 MAF
6/1/1944 6 1944 TLG 0.26718 MAF
7/1/1944 7 1944 TLG 0.08763 MAF
8/1/1944 8 1944 TLG 0.0112 MAF
9/1/1944 9 1944 TLG 0.00236 MAF
10/1/1944 10 1944 TLG 0.00912 MAF
11/1/1944 11 1944 TLG 0.08905 MAF
12/1/1944 12 1944 TLG 0.08131 MAF
1/1/1945 1 1945 TLG 0.0556 MAF
